Activity,Case ID,Country,Cost,Event end,Team,User,Event ID
Place hold for authorization,112816,Germany,513.1903127,4/9/2015 10:43,Controlling,Macy Hurst,32
Close outstanding settlement instructions and contractual journal,112821,Germany,524.1611534,9/9/2015 10:37,Controlling,Macy Hurst,33
Receive status update from clearing agent,112848,Germany,434.9443241,9/9/2015 14:28,Line management,Eden Morrow,34
Send settlement instructions to clearing agent,112893,US,296.8669036,8/9/2015 14:49,Other,Xander Pittman,35
Receive status update from clearing agent,112939,US,297.5165472,10/9/2015 10:37,Other,Upton Watkins,36
Place hold for authorization,112997,US,789.9535134,4/9/2015 13:41,Controlling,Gary Le,37
Receive status update from clearing agent,113146,US,350.1770152,22-9-2015 09:55:25,Other,Thor Mccray,38
Receive status update from clearing agent,113180,Germany,587.0790219,8/9/2015 15:08,Line management,Kiona Sanchez,39
Send settlement instructions to clearing agent,113279,Austria,108.1190789,8/9/2015 11:03,Purchasing,Michael Castaneda,40
Close outstanding settlement instructions and contractual journal,113305,Germany,809.9332282,10/9/2015 12:30,Controlling,Macy Hurst,41
Close outstanding settlement instructions and contractual journal,113553,France,671.7577671,15-9-2015 09:55:09,Administration,Hunter Garcia,42
Close outstanding settlement instructions and contractual journal,113573,UK,762.9193923,18-9-2015 12:44:44,Finance,Rebecca Love,43
Send settlement instructions to clearing agent,113630,Netherlands,930.2248056,10/9/2015 11:44,Purchasing,Alden Baxter,44
Send settlement instructions to clearing agent,113673,Netherlands,617.5998332,10/9/2015 11:59,Other,Mechelle Koch,45
Receive status update from clearing agent,113691,Germany,601.3018085,11/9/2015 11:35,Line management,Griffin Donaldson,46
Send settlement instructions to clearing agent,113934,France,516.7187422,16-9-2015 16:45:57,Administration,Aaron Downs,47
Receive status update from clearing agent,113999,Germany,738.6354393,18-9-2015 13:48:17,Line management,Eden Morrow,48
Send settlement instructions to clearing agent,114023,Austria,29.08785006,11/9/2015 13:11,Other,Uma Rocha,49
Send settlement instructions to clearing agent,114085,Austria,220.9292886,10/9/2015 15:13,Purchasing,John Tanner,50
Receive status update from clearing agent,114144,Austria,849.0931328,14-9-2015 09:50:37,Other,Natalie Bowen,51
Send settlement instructions to clearing agent,114222,Germany,179.1365684,11/9/2015 14:30,Auto-processor,System,52
Close outstanding settlement instructions and contractual journal,114241,Netherlands,918.0882341,16-9-2015 14:50:30,Controlling,Fiona Luna,53
Place hold for authorization,114340,Germany,495.5447129,15-9-2015 08:30:11,Controlling,Clio Butler,54
Close outstanding settlement instructions and contractual journal,114358,UK,889.4706985,21-9-2015 18:55:08,Controlling,Alan Boyer,55
Create settlement instructions,114485,Germany,947.8110157,15-9-2015 16:30:38,Controlling,Macy Hurst,56
Send settlement instructions to clearing agent,114516,Netherlands,664.0620202,17-9-2015 11:26:38,Purchasing,Myra Valentine,57
Send settlement instructions to clearing agent,114579,UK,242.6988126,17-9-2015 09:26:34,Purchasing,Shoshana Malone,58
Send settlement instructions to clearing agent,114595,Germany,68.50617835,12/10/2015 16:15,Other,Hashim Salinas,59
Close outstanding settlement instructions and contractual journal,114603,France,943.9009063,18-9-2015 12:59:41,Administration,Hunter Garcia,60
Place hold for authorization,114662,US,588.4115378,21-9-2015 09:38:11,Controlling,Gary Le,61
Send settlement instructions to clearing agent,107203,Austria,141.0632745,14-7-2015 15:15:46,Other,Vivian Nielsen,62
Receive status update from clearing agent,107315,UK,192.4754059,9/7/2015 10:01,Financial approval,Lunea Fitzgerald,63
Create settlement instructions,107349,France,515.6687317,6/7/2015 10:31,Finance,Lars Walker,64
Receive status update from clearing agent,107367,France,358.8103134,7/7/2015 11:46,Other,Ruby Rojas,65
Send settlement instructions to clearing agent,107381,France,630.0026164,6/7/2015 13:15,Other,Kieran Mclaughlin,66
Receive status update from clearing agent,107458,Germany,762.8682203,23-7-2015 13:48:27,Line management,Kiona Sanchez,67
Send settlement instructions to clearing agent,107466,Germany,182.6384594,16-7-2015 10:52:00,Auto-processor,System,68
Close outstanding settlement instructions and contractual journal,107706,UK,213.5882305,8/7/2015 13:54,Finance,Medge Patel,69
Send settlement instructions to clearing agent,107739,Germany,563.1520018,9/7/2015 11:06,Purchasing,Eaton Hyde,70
Send settlement instructions to clearing agent,107762,US,498.0470205,8/7/2015 15:08,Other,Walter Mack,71
Receive status update from clearing agent,107864,Austria,602.709644,8/7/2015 16:45,Other,Inez Burns,72
Receive status update from clearing agent,107926,Austria,671.1170025,9/7/2015 13:24,Other,Veronica Spears,73
Send settlement instructions to clearing agent,107941,Germany,253.0207471,22-7-2015 11:09:47,Auto-processor,System,74
Send settlement instructions to clearing agent,107969,Austria,436.6285564,13-7-2015 18:06:13,Other,Vivian Nielsen,75
Receive status update from clearing agent,108010,Germany,239.1838321,26-8-2015 11:50:57,Other,Murphy Hopper,76
Send settlement instructions to clearing agent,108157,France,280.9421323,13-7-2015 11:36:14,Administration,Aaron Downs,77
Close outstanding settlement instructions and contractual journal,108176,Netherlands,729.9271425,27-7-2015 12:24:20,Controlling,Fiona Luna,78
Send settlement instructions to clearing agent,108195,France,668.6962192,28-8-2015 13:27:48,Administration,Aaron Downs,79
Receive status update from clearing agent,108273,US,186.1785181,14-7-2015 15:27:35,Financial approval,Naida Ortiz,80
Close outstanding settlement instructions and contractual journal,108514,UK,769.7841092,17-7-2015 09:53:24,Finance,Medge Patel,81
Send settlement instructions to clearing agent,108649,Germany,293.1561926,16-7-2015 13:51:37,Auto-processor,System,82
Close outstanding settlement instructions and contractual journal,108720,France,861.1675042,21-7-2015 09:56:10,Administration,Hunter Garcia,83
Cancel transaction,108793,Germany,547.8022309,17-7-2015 09:33:56,Line management,Autumn Higgins,84
Close outstanding settlement instructions and contractual journal,108967,UK,750.7671116,22-7-2015 09:15:10,Finance,Rebecca Love,85
Receive status update from clearing agent,109211,Netherlands,984.6773375,5/8/2015 14:53,Financial approval,Claire Frost,86
Receive status update from clearing agent,109291,UK,584.8204115,30-7-2015 09:29:17,Other,Kylie Guy,87
Close outstanding settlement instructions and contractual journal,109381,UK,778.625911,28-7-2015 08:29:33,Finance,Rebecca Love,88
Close outstanding settlement instructions and contractual journal,109471,UK,743.3117588,29-7-2015 17:57:32,Finance,Medge Patel,89
Send settlement instructions to clearing agent,109504,Germany,497.9022502,13-8-2015 12:22:18,Auto-processor,System,90
Receive status update from clearing agent,109538,France,200.3894344,11/8/2015 10:52,Administration,Aaron Downs,91
Close outstanding settlement instructions and contractual journal,109561,UK,982.422452,30-7-2015 10:57:44,Finance,Rebecca Love,92
Receive status update from clearing agent,109634,Germany,649.6740125,31-7-2015 13:50:21,Financial approval,Neil Vega,93
Receive status update from clearing agent,109655,Austria,88.38252953,30-7-2015 11:04:22,Other,Emery Clark,94
Receive status update from clearing agent,109692,Germany,759.9810113,7/8/2015 15:52,Line management,Eden Morrow,95
Receive status update from clearing agent,109697,UK,254.9910298,5/8/2015 16:21,Financial approval,Lunea Fitzgerald,96
Close outstanding settlement instructions and contractual journal,109829,UK,1002.63765,4/8/2015 11:08,Finance,Medge Patel,97
Receive status update from clearing agent,109873,US,777.4636206,4/8/2015 15:04,Financial approval,Xerxes Espinoza,98
Receive status update from clearing agent,110058,Austria,251.1686407,7/8/2015 10:02,Other,Kaye Morrow,99
Place hold for authorization,110064,Germany,720.1208229,5/8/2015 14:29,Controlling,Clio Butler,100
Close outstanding settlement instructions and contractual journal,110150,UK,955.2030421,17-8-2015 10:55:06,Controlling,Alan Boyer,101
Send settlement instructions to clearing agent,110186,UK,115.2187666,10/8/2015 17:19,Other,Oscar Medina,102
Receive status update from clearing agent,110214,Austria,720.3465917,7/8/2015 8:51,Other,Morgan Whitfield,103
Receive status update from clearing agent,110388,Germany,585.9566845,10/8/2015 15:33,Auto-processor,System,104
Close outstanding settlement instructions and contractual journal,110401,France,889.359241,25-8-2015 13:28:08,Administration,Kyla Jackson,105
Receive status update from clearing agent,110456,UK,990.6550742,10/8/2015 10:47,Other,Roanna Parsons,106
Receive status update from clearing agent,110530,Germany,859.2197955,18-8-2015 10:54:31,Line management,Kiona Sanchez,107
Send settlement instructions to clearing agent,114778,Austria,767.6132573,21-9-2015 13:35:39,Other,Morgan Whitfield,108
Send settlement instructions to clearing agent,114801,Austria,899.7307909,22-9-2015 07:42:11,Other,Diana Vincent,109
Place hold for authorization,114816,US,631.9781332,22-9-2015 18:05:50,Controlling,Gary Le,110
Receive status update from clearing agent,114827,Germany,49.39534123,28-9-2015 13:27:10,Other,Jermaine Fernandez,111
Receive status update from clearing agent,114905,Germany,512.8168264,29-9-2015 11:29:40,Other,Tyler Small,112
Send settlement instructions to clearing agent,114947,Netherlands,419.7316055,23-9-2015 10:35:49,Other,Emmanuel Durham,113
Receive status update from clearing agent,115045,UK,338.1185646,23-9-2015 11:24:27,Other,Selma Griffin,114
Place hold for authorization,115099,UK,170.5571006,23-9-2015 15:11:46,Controlling,Alan Boyer,115
Receive status update from clearing agent,115193,Austria,995.3696191,30-9-2015 10:54:01,Other,Raymond Mercado,116
Cancel transaction,115254,Germany,791.191376,25-9-2015 08:50:08,Line management,Autumn Higgins,117
Receive status update from clearing agent,115290,Austria,445.4222978,30-9-2015 15:30:17,Other,Natalie Bowen,118
Close outstanding settlement instructions and contractual journal,115291,UK,384.1956592,5/10/2015 11:19,Finance,Rebecca Love,119
Cancel transaction,115316,Germany,627.709745,28-9-2015 09:56:36,Line management,Autumn Higgins,120
Receive status update from clearing agent,115437,France,491.6745863,29-9-2015 11:14:22,Financial approval,Norman Calhoun,121
Close outstanding settlement instructions and contractual journal,115478,France,123.5847824,29-9-2015 14:23:51,Administration,Hunter Garcia,122
Receive status update from clearing agent,115556,Austria,244.7375168,30-9-2015 12:22:22,Other,Kaye Morrow,123
Close outstanding settlement instructions and contractual journal,115564,UK,288.905183,7/10/2015 17:41,Finance,Rebecca Love,124
Send settlement instructions to clearing agent,115624,Netherlands,818.7600157,30-9-2015 11:12:16,Other,Haviva Hernandez,125
Receive status update from clearing agent,115885,Austria,701.558646,6/10/2015 7:30,Other,Emery Clark,126
Close outstanding settlement instructions and contractual journal,115994,US,661.882675,27-10-2015 15:52:48,Controlling,Knox Gonzalez,127
Create settlement instructions,116024,Netherlands,320.925252,5/10/2015 9:00,Controlling,Fiona Luna,128
Receive status update from clearing agent,116109,Switzerland,912.0864516,6/10/2015 12:35,Other,Jack Maynard,129
Close outstanding settlement instructions and contractual journal,116173,Netherlands,110.9172047,12/10/2015 11:03,Controlling,Fiona Luna,130
Receive status update from clearing agent,116458,Austria,310.7676501,8/10/2015 12:14,Other,Kaye Morrow,131
Receive status update from clearing agent,116644,Germany,54.0886214,9/10/2015 14:25,Line management,Kiona Sanchez,132
Place hold for authorization,116659,Germany,620.8380536,8/10/2015 14:30,Controlling,Clio Butler,133
Close outstanding settlement instructions and contractual journal,116818,Netherlands,125.0681326,4/11/2015 15:45,Controlling,Fiona Luna,134
Close outstanding settlement instructions and contractual journal,116832,France,147.4360833,12/10/2015 11:34,Administration,Hunter Garcia,135
Send settlement instructions to clearing agent,116881,Austria,590.8397184,12/10/2015 9:14,Other,Uma Rocha,136
Receive authorization and remove hold,116983,Netherlands,649.1544371,12/10/2015 14:25,Controlling,Fiona Luna,137
Close outstanding settlement instructions and contractual journal,117010,France,303.5127934,12/10/2015 15:37,Administration,Hunter Garcia,138
Send settlement instructions to clearing agent,117090,Austria,463.9000604,13-10-2015 11:33:14,Other,Kirk Winters,139
Receive status update from clearing agent,117139,Germany,870.8825584,29-10-2015 20:01:13,Auto-processor,System,140
Receive status update from clearing agent,117181,Switzerland,330.8932622,15-10-2015 14:38:46,Financial approval,Jemima Woods,141
Cancel transaction,117265,Netherlands,940.0635469,15-10-2015 09:36:04,Line management,Kelsey Hoover,142
Receive status update from clearing agent,117323,Netherlands,168.8012901,19-10-2015 15:04:33,Financial approval,Claire Frost,143
Close outstanding settlement instructions and contractual journal,117349,UK,609.4672099,15-10-2015 14:41:33,Finance,Medge Patel,144
Receive status update from clearing agent,117417,Switzerland,485.4933401,19-10-2015 08:30:07,Other,Jack Maynard,145
Receive status update from clearing agent,117442,France,484.2993732,16-10-2015 08:58:53,Financial approval,Norman Calhoun,146
Close outstanding settlement instructions and contractual journal,117453,UK,224.0385313,22-10-2015 15:08:55,Finance,Medge Patel,147
Receive status update from clearing agent,117513,UK,933.1034071,28-10-2015 11:31:05,Other,Kay Farley,148
Close outstanding settlement instructions and contractual journal,117524,Netherlands,113.0865812,19-10-2015 17:07:48,Controlling,Fiona Luna,149
Close outstanding settlement instructions and contractual journal,117580,UK,156.6759805,19-10-2015 09:25:12,Finance,Medge Patel,150
Receive status update from clearing agent,117596,Germany,480.0806615,10/11/2015 11:23,Auto-processor,System,151
Create settlement instructions,117688,France,932.2877502,16-10-2015 16:15:36,Administration,Tarik Cohen,152
Send settlement instructions to clearing agent,117879,Germany,457.7067928,20-10-2015 14:03:07,Auto-processor,System,153
Receive status update from clearing agent,117939,Austria,943.983416,22-10-2015 14:42:25,Other,Abraham Gomez,154
Receive status update from clearing agent,118148,US,169.3596675,22-10-2015 14:51:51,Other,Taylor Nixon,155
Close outstanding settlement instructions and contractual journal,118186,UK,683.7309729,23-10-2015 14:44:16,Finance,Medge Patel,156
Create settlement instructions,118220,UK,959.0028906,23-10-2015 08:45:38,Controlling,Alan Boyer,157
Create settlement instructions,118428,UK,423.1299306,27-10-2015 16:45:29,Finance,Medge Patel,158
Close outstanding settlement instructions and contractual journal,118590,US,686.6104225,18-11-2015 15:13:01,Controlling,Knox Gonzalez,159
Receive status update from clearing agent,118608,Germany,711.6916523,3/11/2015 12:22,Other,Tyler Small,160
Create settlement instructions,118632,France,79.42846309,2/11/2015 17:15,Administration,Hunter Garcia,161
Send settlement instructions to clearing agent,118732,Germany,245.0532995,19-11-2015 13:45:49,Auto-processor,System,162
Send settlement instructions to clearing agent,118745,Germany,976.6120271,4/11/2015 12:54,Auto-processor,System,163
Send settlement instructions to clearing agent,118765,Netherlands,969.5876762,4/11/2015 13:13,Other,Yolanda Mcneil,164
Create settlement instructions,118819,Germany,566.6499868,4/11/2015 12:46,Controlling,Clio Butler,165
Receive status update from clearing agent,118862,US,948.3208013,5/11/2015 13:10,Financial approval,Xerxes Espinoza,166
Close outstanding settlement instructions and contractual journal,118972,France,312.0686664,9/11/2015 8:48,Administration,Hunter Garcia,167
Send settlement instructions to clearing agent,119003,Germany,775.9974911,1/12/2015 9:25,Auto-processor,System,168
Create settlement instructions,119025,France,128.840554,5/11/2015 18:30,Administration,Tarik Cohen,169
Send settlement instructions to clearing agent,119103,Germany,391.6601734,9/11/2015 12:59,Other,Lester Conley,170
Receive status update from clearing agent,119187,UK,826.5696312,10/12/2015 10:02,Other,Oscar Medina,171
Place hold for authorization,119518,Netherlands,888.5392794,20-11-2015 14:50:21,Controlling,Fiona Luna,172
Receive status update from clearing agent,119561,UK,387.3632902,20-11-2015 10:19:11,Other,Kylie Guy,173
Close outstanding settlement instructions and contractual journal,119696,UK,718.0855643,16-11-2015 16:37:40,Finance,Medge Patel,174
Receive status update from clearing agent,119812,Switzerland,278.5546162,17-11-2015 14:23:19,Other,Ciaran Mitchell,175
Create settlement instructions,119828,France,32.21999526,17-11-2015 11:15:20,Administration,Tarik Cohen,176
Send settlement instructions to clearing agent,119843,Germany,58.09480986,31-12-2015 13:16:32,Auto-processor,System,177
Send settlement instructions to clearing agent,119871,Germany,259.6851448,28-12-2015 11:48:59,Purchasing,Blaze Barber,178
Receive status update from clearing agent,119900,Switzerland,351.6179055,19-11-2015 08:43:33,Other,Caesar Donaldson,179
Create settlement instructions,120012,Germany,492.9320512,19-11-2015 12:30:05,Controlling,Macy Hurst,180
Place hold for authorization,120024,US,887.3645546,1/12/2015 11:30,Controlling,Gary Le,181
Receive status update from clearing agent,120180,Austria,286.6675719,24-11-2015 09:45:45,Other,Celeste Sharp,182
Close outstanding settlement instructions and contractual journal,120253,Netherlands,419.7856121,25-11-2015 14:58:19,Controlling,Fiona Luna,183
Send settlement instructions to clearing agent,120289,Switzerland,930.9189388,25-11-2015 10:23:14,Purchasing,Justine Monroe,184
Send settlement instructions to clearing agent,120374,Germany,683.7180578,26-11-2015 10:10:47,Purchasing,Blaze Barber,185
Receive status update from clearing agent,120419,Austria,843.8800516,26-11-2015 10:57:02,Other,Emery Clark,186
Create settlement instructions,120519,France,422.9874273,25-11-2015 17:00:41,Administration,Tarik Cohen,187
Create settlement instructions,120542,France,497.1162603,26-11-2015 12:00:37,Administration,Hunter Garcia,188
Receive status update from clearing agent,120607,Netherlands,889.0007055,9/12/2015 14:26,Other,Colorado Trevino,189
Receive status update from clearing agent,120662,Austria,652.9102933,30-11-2015 12:54:34,Other,Keefe Rasmussen,190
Close outstanding settlement instructions and contractual journal,120659,UK,284.575525,9/12/2015 9:05,Finance,Cullen Combs,191
Send settlement instructions to clearing agent,120691,France,966.5673184,30-11-2015 12:24:37,Administration,Aaron Downs,192
Receive status update from clearing agent,120827,Germany,680.2669984,14-12-2015 14:47:59,Line management,Kiona Sanchez,193
Close outstanding settlement instructions and contractual journal,121007,France,588.1277726,8/12/2015 14:52,Administration,Hunter Garcia,194
Place hold for authorization,121095,Germany,979.0767373,3/12/2015 16:35,Controlling,Clio Butler,195
Close outstanding settlement instructions and contractual journal,121119,France,544.2534816,14-12-2015 08:51:16,Administration,Hunter Garcia,196
Place hold for authorization,121230,Netherlands,602.6772927,8/12/2015 10:50,Controlling,Fiona Luna,197
Receive status update from clearing agent,121238,UK,519.2187234,10/12/2015 10:21,Other,Oscar Medina,198
Receive status update from clearing agent,121358,US,49.92299713,11/12/2015 15:49,Other,Paula Duffy,199
Receive status update from clearing agent,121450,Switzerland,219.6960032,15-12-2015 14:06:13,Other,Caesar Donaldson,200
Create settlement instructions,121641,France,686.8519296,10/12/2015 16:15,Administration,Tarik Cohen,201
Receive authorization and remove hold,121680,UK,647.2025584,14-12-2015 15:27:24,Controlling,Alan Boyer,202
Send settlement instructions to clearing agent,121701,Netherlands,33.73016124,14-12-2015 11:28:54,Purchasing,Alden Baxter,203
Receive status update from clearing agent,121759,France,271.3359387,21-12-2015 16:24:33,Other,Renee Turner,204
Close outstanding settlement instructions and contractual journal,121890,Austria,258.7746837,16-12-2015 14:34:00,Administration,Tanner Wiggins,205
Close outstanding settlement instructions and contractual journal,121917,UK,22.4516064,22-12-2015 17:44:45,Finance,Medge Patel,206
Receive status update from clearing agent,121926,Germany,974.5280887,17-12-2015 07:40:36,Other,Steven Strong,207
Close outstanding settlement instructions and contractual journal,122085,US,220.7084878,27-1-2016 15:43:52,Controlling,Gary Le,208
Send settlement instructions to clearing agent,122201,Netherlands,321.3676784,22-12-2015 11:09:03,Other,Hammett Herman,209
Receive status update from clearing agent,122248,Austria,615.7681412,28-12-2015 13:59:57,Other,Kaye Morrow,210
Create settlement instructions,122250,UK,788.8544523,21-12-2015 13:16:11,Finance,Medge Patel,211
Send settlement instructions to clearing agent,122293,Germany,58.30447084,21-1-2016 09:42:59,Auto-processor,System,212
Send settlement instructions to clearing agent,122430,Switzerland,944.0966606,22-1-2016 09:31:03,Purchasing,Aladdin Middleton,213
Place hold for authorization,122435,UK,827.1401565,25-12-2015 12:30:00,Controlling,Alan Boyer,214
Close outstanding settlement instructions and contractual journal,122437,Netherlands,554.0773435,19-1-2016 08:20:42,Controlling,Fiona Luna,215
Receive status update from clearing agent,122471,Austria,134.0569019,6/1/2016 15:30,Financial approval,Daphne Gordon,216
Receive status update from clearing agent,122587,Germany,800.8721776,7/1/2016 14:53,Line management,Eden Morrow,217
Receive status update from clearing agent,122602,Germany,25.73528799,25-1-2016 10:27:26,Line management,Eden Morrow,218
Create settlement instructions,122688,UK,626.3676517,24-12-2015 17:15:16,Controlling,Alan Boyer,219
Close outstanding settlement instructions and contractual journal,122697,France,942.7846588,29-12-2015 08:28:26,Administration,Hunter Garcia,220
Close outstanding settlement instructions and contractual journal,122732,UK,610.7298288,28-12-2015 12:23:00,Finance,Medge Patel,221
Receive status update from clearing agent,122801,Austria,411.0912098,5/1/2016 12:53,Financial approval,Daphne Gordon,222
Receive status update from clearing agent,122812,Germany,728.3363776,5/1/2016 15:16,Auto-processor,System,223
Send settlement instructions to clearing agent,122827,Germany,103.8895292,29-12-2015 10:57:43,Auto-processor,System,224
Send settlement instructions to clearing agent,122846,France,166.1078176,29-12-2015 11:28:00,Other,Quintessa Crosby,225
Cancel transaction,122869,Germany,953.3519378,29-12-2015 10:56:21,Line management,Autumn Higgins,226
Close outstanding settlement instructions and contractual journal,122892,Germany,672.0346025,30-12-2015 09:24:25,Controlling,Clio Butler,227
Receive status update from clearing agent,122960,Germany,915.0373365,29-1-2016 16:15:37,Other,Hashim Salinas,228
Close outstanding settlement instructions and contractual journal,122984,UK,228.9617065,1/1/2016 9:45,Finance,Medge Patel,229
Receive status update from clearing agent,123140,France,546.9233843,20-1-2016 09:28:33,Other,Keith Perez,230
Place hold for authorization,123250,Netherlands,651.6920901,4/1/2016 9:10,Controlling,Fiona Luna,231
Send settlement instructions to clearing agent,123379,Austria,183.7173108,5/1/2016 11:30,Purchasing,Michael Castaneda,232
Close outstanding settlement instructions and contractual journal,123416,France,370.4815313,6/1/2016 15:15,Administration,Hunter Garcia,233
Create settlement instructions,123589,UK,136.6119809,6/1/2016 11:45,Controlling,Alan Boyer,234
Receive status update from clearing agent,123660,Austria,90.79668232,8/1/2016 15:29,Other,Amir Gallegos,235
Receive status update from clearing agent,123712,Germany,271.0608724,8/1/2016 12:50,Line management,Griffin Donaldson,236
Receive status update from clearing agent,123745,Germany,83.22171048,23-2-2016 16:13:29,Financial approval,Neil Vega,237
Close outstanding settlement instructions and contractual journal,123762,Germany,240.8716434,22-2-2016 11:05:47,Controlling,Macy Hurst,238
Receive status update from clearing agent,123873,Germany,24.40471975,1/2/2016 10:44,Line management,Eden Morrow,239
Receive status update from clearing agent,123907,Germany,861.1507311,11/1/2016 13:34,Other,Colorado Ferrell,240
Create settlement instructions,123959,UK,100.7899543,8/1/2016 14:45,Finance,Medge Patel,241
Create settlement instructions,124135,Germany,622.3227046,11/1/2016 17:15,Finance,Sara Salas,242
Receive status update from clearing agent,124168,Netherlands,72.1661516,19-1-2016 10:13:33,Other,Griffith Stuart,243
Create settlement instructions,124494,Germany,848.2379247,13-1-2016 14:45:53,Finance,Sara Salas,244
Close outstanding settlement instructions and contractual journal,124526,UK,701.004846,15-1-2016 11:38:26,Finance,Medge Patel,245
Close outstanding settlement instructions and contractual journal,124689,UK,558.9988463,21-1-2016 14:29:37,Finance,Medge Patel,246
Receive status update from clearing agent,124726,Switzerland,524.1822067,2/2/2016 14:48,Other,Imelda Pope,247
Receive status update from clearing agent,124794,US,195.618917,28-1-2016 14:32:21,Financial approval,Naida Ortiz,248
Receive status update from clearing agent,124840,Austria,337.5908005,18-1-2016 13:55:53,Other,Jason Munoz,249
Create settlement instructions,124965,France,619.8673202,19-1-2016 08:00:10,Administration,Kyla Jackson,250
Close outstanding settlement instructions and contractual journal,125119,UK,550.9298912,1/2/2016 11:10,Finance,Medge Patel,251
Send settlement instructions to clearing agent,125133,Switzerland,374.4509715,21-1-2016 10:50:16,Purchasing,Adria Franks,252
Create settlement instructions,125209,Netherlands,852.3269614,21-1-2016 09:00:25,Controlling,Fiona Luna,253
Receive status update from clearing agent,125244,Austria,458.1243362,22-1-2016 12:03:37,Other,Kaye Morrow,254
Send settlement instructions to clearing agent,125320,Germany,298.1120804,25-1-2016 09:40:36,Auto-processor,System,255
Cancel transaction,125356,Germany,694.9770076,25-1-2016 14:33:53,Line management,Jamal Clarke,256
Close outstanding settlement instructions and contractual journal,125427,UK,709.9254493,28-1-2016 11:31:43,Finance,Cullen Combs,257
Close outstanding settlement instructions and contractual journal,125441,UK,191.2777533,17-2-2016 14:58:41,Finance,Rebecca Love,258
Close outstanding settlement instructions and contractual journal,125482,UK,728.5792596,4/2/2016 14:24,Controlling,Alan Boyer,259
Create settlement instructions,125532,UK,169.013851,27-1-2016 11:15:34,Finance,Cullen Combs,260
Receive status update from clearing agent,125718,Austria,407.3028414,1/2/2016 10:57,Other,Nissim Combs,261
Receive authorization and remove hold,125821,Netherlands,241.7388098,16-2-2016 12:18:59,Controlling,Fiona Luna,262
Close outstanding settlement instructions and contractual journal,125877,France,173.8201097,1/2/2016 19:10,Administration,Hunter Garcia,263
Send settlement instructions to clearing agent,125899,Switzerland,492.0048878,2/2/2016 11:16,Other,Carla Hanson,264
